Qubits,Gates,Haskell_Time_s,Qiskit_Time_s
2,10,0.0002873928331984286,0.0033465570420958103
2,100,0.0037212330393568195,0.40364512577652933
2,1000,0.04352063045745083,3.3566920625045897
2,10000,0.3361915622154871,30.54017290715128
5,10,0.0013669873770575007,0.0033526931540109215
5,100,0.015963511591292272,0.4566612085327506
5,1000,0.1370358778025201,3.1618788318708537
5,10000,1.0676368646478902,31.05141537487507
10,10,0.4824780660370986,0.0035053947882261126
10,100,,0.39403494596481325
10,1000,,3.4258446844294665
10,10000,,32.6383537819609
15,10,,0.0019549875636585058
15,100,,0.4311824969947338
15,1000,,3.605410140939057
15,10000,,37.49457822423428
20,10,,0.009853746613953263
20,100,,2.3009992260485888
20,1000,,11.34919591639191
20,10000,,100.57828485406935
25,10,,0.2920504786074162
